"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","dengue_sj",1,1,"geom",356,5.11114815405546,12.1395711430547,3,7,0,13,4,2.06728101093367,0.374638559925881,0.501167906254268,2.06728101093367
"2","dengue_sj",1,2,"geom",356,5.02158341752662,14.2422108082347,2,7,0,14,11,3.79004096448557,0.914850925140897,0.937445601393771,3.79004096448557
"3","dengue_sj",1,3,"geom",356,4.78354466081926,15.8318443416995,2,7,0,15,5,2.3385096566378,0.574070626648398,0.670541933166071,2.3385096566378
"4","dengue_sj",1,4,"geom",356,4.82516212363165,18.2366864140836,2,7,0,16,8,3.11450623940287,0.803189932694893,0.847590357611191,3.11450623940287
"5","dengue_sj",1,5,"geom",356,4.58357042830588,18.9752505918072,2,6,0,16,4,2.25424666579621,0.508317098212696,0.613269676542545,2.25424666579621
"6","dengue_sj",1,6,"geom",356,4.37285400593497,19.5319305666658,1,6,0,16,3,2.07863686276383,0.415577052611584,0.540677677956202,2.07863686276383
"7","dengue_sj",1,7,"geom",356,4.32615528952429,22.3844979834872,1,6,0,17,1,1.83333520272267,0.13532655289488,0.295206000097361,1.83333520272267
"8","dengue_sj",1,8,"geom",356,3.94066893599845,20.146422241913,1,5,0,16,2,1.91466678958285,0.341263351786833,0.488654288387024,1.91466678958285
"9","dengue_sj",1,1,"geom",357,4.52096381389628,9.99416042018161,2,6,0,12,11,4.07327918261824,0.950210778345279,0.967232258693835,4.07327918261824
"10","dengue_sj",1,2,"geom",357,4.42949527814045,11.7227761618308,2,6,0,13,5,2.27865765732862,0.597252193547898,0.699673792912095,2.27865765732862
"11","dengue_sj",1,3,"geom",357,4.26161589358916,12.8675669329889,2,6,0,13,8,3.21312394902723,0.847125575579112,0.887356313564728,3.21312394902723
"12","dengue_sj",1,4,"geom",357,4.07176798097781,13.6605946205552,1,6,0,14,4,2.19855469663801,0.544442265185076,0.655405683508944,2.19855469663801
"13","dengue_sj",1,5,"geom",357,3.9680505163593,15.6544772147027,1,5,0,14,3,2.04011933210265,0.442799115439128,0.572812310643858,2.04011933210265
"14","dengue_sj",1,6,"geom",357,3.83505405338858,17.038341116391,1,5,0,15,1,1.73946663168848,0.147132321744875,0.322746364352201,1.73946663168848
"15","dengue_sj",1,7,"geom",357,3.59626137002399,16.6540116871291,1,5,0,14,2,1.87014678960241,0.358585883886887,0.512686923611363,1.87014678960241
"16","dengue_sj",1,8,"geom",357,3.46664178653576,17.2300103342943,1,5,0,15,3,2.16558523895381,0.537929788677916,0.65261258679088,2.16558523895381
"17","dengue_sj",1,1,"geom",358,7.1434168434568,20.9194540496265,4,10,1,18,5,2.31272234600602,0.320806825886552,0.419798221461805,2.31272234600602
"18","dengue_sj",1,2,"geom",358,6.98222500401432,24.5359211641054,3,9,1,19,8,2.67088075893592,0.627688627438533,0.696879885084453,2.67088075893592
"19","dengue_sj",1,3,"geom",358,6.73013110278727,27.4278820285996,3,9,0,20,4,2.27204603753598,0.29732410638527,0.400425121968908,2.27204603753598
"20","dengue_sj",1,4,"geom",358,6.52649975101077,29.8308227196499,3,9,0,21,3,2.22629018435214,0.222797292240487,0.330725373887347,2.22629018435214
"21","dengue_sj",1,5,"geom",358,6.31705962628429,30.9886918087506,2,9,0,21,1,2.38067526528709,0.0528999905241162,0.145388092938172,2.38067526528709
"22","dengue_sj",1,6,"geom",358,5.97026626286404,33.8319097975391,2,8,0,21,2,2.12735340695769,0.17881431973826,0.297966544108378,2.12735340695769
"23","dengue_sj",1,7,"geom",358,5.98243126335755,39.0287761120024,2,8,0,21,3,2.19176672386299,0.305724149678122,0.417443346865798,2.19176672386299
"24","dengue_sj",1,8,"geom",358,5.80320254734626,37.4111723276447,2,8,0,22,4,2.34854016131663,0.445100816964876,0.54060930444409,2.34854016131663
"25","dengue_sj",1,1,"geom",359,6.09052593609342,16.0670147230963,3,8,0,16,8,2.65560374734664,0.694496629418028,0.764753038155707,2.65560374734664
"26","dengue_sj",1,2,"geom",359,5.85229681626628,18.0118771430579,3,8,0,16,4,2.16672704113969,0.333366443066199,0.447918370837834,2.16672704113969
"27","dengue_sj",1,3,"geom",359,5.85142757891017,22.1602212546215,3,8,0,18,3,2.13909609499619,0.242772519439133,0.360533759341333,2.13909609499619
"28","dengue_sj",1,4,"geom",359,5.4962149748655,22.564111826736,2,7,0,18,1,2.25410883251082,0.0592054243597763,0.164172469645299,2.25410883251082
"29","dengue_sj",1,5,"geom",359,5.23430967660857,22.8378120347319,2,7,0,18,2,2.03900391654433,0.192567308340921,0.322725603194528,2.03900391654433
"30","dengue_sj",1,6,"geom",359,5.08988458220075,26.1623546379798,2,7,0,18,3,2.08917043540391,0.350795204531957,0.474584989389396,2.08917043540391
"31","dengue_sj",1,7,"geom",359,4.89144544503928,25.0701903700242,2,7,0,18,4,2.32521391101715,0.503227325030827,0.600989854363224,2.32521391101715
"32","dengue_sj",1,8,"geom",359,4.69962520514194,25.9268915597202,1,6,0,18,1,1.89247361202532,0.120137730612462,0.270836308210756,1.89247361202532
"33","dengue_sj",1,1,"geom",360,6.68362296531804,18.6350921368876,4,9,1,17,4,2.25860631145231,0.249150308159081,0.35364632638,2.25860631145231
"34","dengue_sj",1,2,"geom",360,6.48542667180849,21.2654188134221,3,9,0,18,3,2.25927585822472,0.182741337213533,0.287167413879907,2.25927585822472
"35","dengue_sj",1,3,"geom",360,6.22847107771489,23.3936044587603,3,8,0,19,1,2.56174152598467,0.0376181069354505,0.114788336325774,2.56174152598467
"36","dengue_sj",1,4,"geom",360,6.11630194622923,26.0997407110022,3,8,0,19,2,2.21830334613461,0.134132426550764,0.242925963851428,2.21830334613461
"37","dengue_sj",1,5,"geom",360,5.96174930587811,29.1093612365396,2,8,0,20,3,2.16423180713854,0.276393777171024,0.391231895715716,2.16423180713854
"38","dengue_sj",1,6,"geom",360,5.34956549478281,26.248209283575,2,7,0,19,4,2.27824213302904,0.447894576481713,0.550358743352552,2.27824213302904
"39","dengue_sj",1,7,"geom",360,5.4541072925184,29.349572487803,2,7,0,20,1,2.08044904545768,0.0881853468981259,0.213059472346086,2.08044904545768
"40","dengue_sj",1,8,"geom",360,5.47193502111708,36.6079243045839,2,7,0,21,8,3.18669973940349,0.760208294824561,0.80151626813008,3.18669973940349
"41","dengue_sj",1,1,"geom",361,5.38622813917615,13.1303484303234,3,7,0,14,3,2.08729190368246,0.223722309968793,0.347744856420448,2.08729190368246
"42","dengue_sj",1,2,"geom",361,5.19100963729088,14.7878350432265,2,7,0,15,1,2.36882707881435,0.046119502276832,0.139709938407119,2.36882707881435
"43","dengue_sj",1,3,"geom",361,4.97817625306496,16.1611155536906,2,7,0,15,2,2.02639652911666,0.167591040542611,0.299400679138686,2.02639652911666
"44","dengue_sj",1,4,"geom",361,4.7854689049136,17.4909659689819,2,7,0,16,3,2.02809841998562,0.337655486477513,0.469240990233838,2.02809841998562
"45","dengue_sj",1,5,"geom",361,4.41524593160023,17.0278229817441,2,6,0,15,4,2.23249089513673,0.519700703723963,0.626961625122493,2.23249089513673
"46","dengue_sj",1,6,"geom",361,4.40661116178688,18.4490929406989,1,6,0,16,1,1.90980911408646,0.105694374916609,0.25380303066995,1.90980911408646
"47","dengue_sj",1,7,"geom",361,4.47002813945704,22.5575766402268,1,6,0,17,8,3.32105703421737,0.823282384801149,0.859397021965027,3.32105703421737
"48","dengue_sj",1,8,"geom",361,4.55635035670975,27.7856056532146,1,6,0,18,5,2.59754685970428,0.643310290447878,0.717766295838079,2.59754685970428
"49","dengue_sj",1,1,"geom",362,4.21038508749561,8.9329939477774,2,6,0,11,1,2.13818076483617,0.0593954660839464,0.177264545747676,2.13818076483617
"50","dengue_sj",1,2,"geom",362,4.03778018440894,9.85379096939743,2,6,0,12,2,1.8524881566996,0.210421441816174,0.367267863739237,1.8524881566996
"51","dengue_sj",1,3,"geom",362,3.89909915295057,10.7597633721553,2,5,0,12,3,1.92968737511069,0.402902551467434,0.548096133984263,1.92968737511069
"52","dengue_sj",1,4,"geom",362,3.69167817623446,11.787828413275,1,5,0,13,4,2.21999785627403,0.59020902723873,0.698818368892105,2.21999785627403
"53","dengue_sj",1,5,"geom",362,3.71928670798482,14.2886991324342,1,5,0,14,1,1.74571674233375,0.133513013131483,0.308032871489882,1.74571674233375
"54","dengue_sj",1,6,"geom",362,3.45482957031254,13.3566110457891,1,5,0,13,8,3.60055111042849,0.888941173311242,0.916249841518804,3.60055111042849
"55","dengue_sj",1,7,"geom",362,3.45605125984355,14.2608469170678,1,5,0,13,5,2.68520090075879,0.731973874079707,0.800181363763035,2.68520090075879
"56","dengue_sj",1,8,"geom",362,3.2395365001047,14.4086265967005,1,4,0,13,3,2.1734357837383,0.557525335057328,0.671311335508676,2.1734357837383
"57","dengue_sj",1,1,"geom",363,2.79167109446282,4.87658513599791,1,4,0,8,2,1.60349170558202,0.32294065173429,0.524133435860804,1.60349170558202
"58","dengue_sj",1,2,"geom",363,2.69805920514901,5.57372808210501,1,4,0,9,3,1.89064923901852,0.55981232538513,0.710786084340954,1.89064923901852
"59","dengue_sj",1,3,"geom",363,2.48611632063269,5.87590568880915,1,4,0,9,4,2.39341265101321,0.748002435579626,0.839319952285377,2.39341265101321
"60","dengue_sj",1,4,"geom",363,2.38588200227217,6.22439103068651,1,3,0,9,1,1.43763074677346,0.215196163499731,0.452685929544551,1.43763074677346
"61","dengue_sj",1,5,"geom",363,2.32994906239744,6.69760607335002,1,3,0,9,8,4.23445165905772,0.953679876342085,0.968167628589889,4.23445165905772
"62","dengue_sj",1,6,"geom",363,2.34587714070401,8.57191851686715,0,3,0,10,5,3.06663244702632,0.846912378352056,0.893490122420819,3.06663244702632
"63","dengue_sj",1,7,"geom",363,2.29426513829315,8.34515216664176,0,3,0,10,3,2.28537705181123,0.676353759640015,0.778089454885447,2.28537705181123
"64","dengue_sj",1,8,"geom",363,2.43344272207316,10.5638244629018,0,3,0,11,2,1.90111356693793,0.518840536097623,0.668242693351415,1.90111356693793
"65","dengue_sj",1,1,"geom",364,2.36528412137836,3.85667631643221,1,3,0,7,3,1.84614891049658,0.604455862395824,0.762299730591989,1.84614891049658
"66","dengue_sj",1,2,"geom",364,2.24090781351134,4.29899406397752,1,3,0,7,4,2.41888727398929,0.783504634566649,0.872525252492679,2.41888727398929
"67","dengue_sj",1,3,"geom",364,2.14381923344758,4.70483152521871,1,3,0,8,1,1.37934115697644,0.227223391444088,0.47896774989227,1.37934115697644
"68","dengue_sj",1,4,"geom",364,2.01973455397251,4.98917674321662,0,3,0,8,8,4.57488962472419,0.97083427950236,0.981141716303757,4.57488962472419
"69","dengue_sj",1,5,"geom",364,2.05880275708598,5.8605741372451,0,3,0,8,5,3.14853983629839,0.877149717903353,0.920064461594863,3.14853983629839
"70","dengue_sj",1,6,"geom",364,2.01391953860426,5.87867450776641,0,3,0,8,3,2.25588124065044,0.707223963899776,0.812005129515823,2.25588124065044
"71","dengue_sj",1,7,"geom",364,2.13789606494045,7.48472723182067,0,3,0,10,2,1.86771341230389,0.5430332891652,0.69750977147289,1.86771341230389
"72","dengue_sj",1,8,"geom",364,2.05387127633631,7.35275688311479,0,3,0,9,7,4.0017864221906,0.935876375138708,0.954159323771689,4.0017864221906
